Grid Scores:

0.688 (+/-0.094) for {'max_features': None, 'n_estimators': 500, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.664 (+/-0.084) for {'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.673 (+/-0.109) for {'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.677 (+/-0.093) for {'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.670 (+/-0.091) for {'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.664 (+/-0.084) for {'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.673 (+/-0.109) for {'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.677 (+/-0.093) for {'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.670 (+/-0.091) for {'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.671 (+/-0.107) for {'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.677 (+/-0.082) for {'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.679 (+/-0.106) for {'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.677 (+/-0.084) for {'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.671 (+/-0.107) for {'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.677 (+/-0.082) for {'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.679 (+/-0.106) for {'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.677 (+/-0.084) for {'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.680 (+/-0.109) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.687 (+/-0.093) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.680 (+/-0.091) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.677 (+/-0.085) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.680 (+/-0.109) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.687 (+/-0.093) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.680 (+/-0.091) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.677 (+/-0.085) for {'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.674 (+/-0.101) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.674 (+/-0.068) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.683 (+/-0.093) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.681 (+/-0.084) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.674 (+/-0.101) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.674 (+/-0.068) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.683 (+/-0.093) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.681 (+/-0.084) for {'max_features': 'sqrt', 'n_estimators': 500, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.670 (+/-0.089) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.657 (+/-0.098) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.673 (+/-0.078) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.670 (+/-0.089) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.670 (+/-0.089) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.657 (+/-0.098) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.673 (+/-0.078) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.670 (+/-0.089) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.670 (+/-0.078) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.681 (+/-0.086) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.676 (+/-0.069) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.667 (+/-0.067) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.670 (+/-0.078) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.681 (+/-0.086) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.676 (+/-0.069) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.667 (+/-0.067) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.669 (+/-0.069) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.679 (+/-0.073) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.680 (+/-0.093) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.670 (+/-0.074) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.669 (+/-0.069) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.679 (+/-0.073) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.680 (+/-0.093) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.670 (+/-0.074) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.674 (+/-0.070) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.672 (+/-0.081) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.679 (+/-0.092) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.678 (+/-0.064) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.674 (+/-0.070) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.672 (+/-0.081) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.679 (+/-0.092) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.678 (+/-0.064) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
Best Score:

Best Params:
0.693333333333{'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
Classification Report:
             precision    recall  f1-score   support

          1       0.00      0.00      0.00        14
          2       0.00      0.00      0.00        13
          3       0.20      0.02      0.04        86
          4       0.48      0.23      0.31       625
          5       0.68      0.90      0.78      1362

avg / total       0.60      0.65      0.60      2100
